key,entropy
sym_T017_discernment,17.5
sym_META12_mask,18.5
sym_SOC13_signalboost,18.0
sym_UI13_settings,17.5
sym_NAV11_home,18.0
sym_MISC12_moon,18.5
sym_S010_pressure,17.5
sym_STAT11_offline,18.5
sym_A017_tilde,17.5
sym_E022_relief,17.5
sym_T018_precision,17.5
sym_META13_collapse,18.5
sym_SOC14_signalfade,18.0
sym_UI14_save,17.5
sym_NAV12_refresh,18.0
sym_MISC13_seedling,18.5
sym_S011_rhythm,17.5
sym_STAT12_syncing,18.5
sym_A018_colon,17.5
sym_E015_envy_additional,14.5
sym_S012_echo_soft,16.0
sym_META14_whisper,18.5
sym_UI15_pin,16.0
sym_SOC15_heartfelt,16.5
sym_SOC16_salute,18.0
sym_SOC17_hug,18.0
sym_SOC18_celebrate,18.0
sym_SOC19_encourage,18.0
sym_SOC20_concern,18.0
sym_SOC21_salutation,18.0
sym_SOC22_thanks,18.0
sym_SOC23_apology,18.0
sym_SOC24_toast,18.0
sym_SOC25_wave_two,18.0
sym_SOC26_cheer,18.0
sym_SOC27_support,18.0
sym_SOC28_partnership,18.0
sym_SOC29_farewell,18.0
sym_SOC30_salutation_heart,18.0
sym_META15_mindful,18.5
sym_META16_insight,18.5
sym_META17_contemplate,18.5
sym_META18_focus,18.5
sym_META19_awareness,18.5
sym_META20_clarity,18.5
sym_META21_reflect,18.5
sym_META22_inquiry,18.5
sym_META23_concept,18.5
sym_META24_journal,18.5
sym_META25_synapse,18.5
sym_META26_muse,18.5
sym_META27_introspect,18.5
sym_META28_metacog,18.5
sym_META29_meditate,18.5
sym_META30_converge,18.5
sym_ACT01_move,18.0
sym_ACT02_approach,18.0
sym_ACT03_retreat,18.0
sym_ACT04_transform,18.0
sym_ACT05_initiate,18.0
sym_ACT06_complete,18.0
sym_ACT07_pause,18.0
sym_ACT08_accelerate,18.0
sym_ACT09_decelerate,18.0
sym_ACT10_rotate,18.0
sym_ACT11_push,18.0
sym_ACT12_pull,18.0
sym_ACT13_connect,18.0
sym_ACT14_detach,18.0
sym_ACT15_invoke,18.0
sym_ACT16_transform_minor,18.0
sym_ACT17_merge,18.0
sym_ACT18_split,18.0
sym_S013_listen,17.5
sym_S014_taste,17.5
sym_S015_smell2,17.5
sym_S016_see_deep,17.5
sym_S017_touch_soft,17.5
sym_S018_feedback,17.5
sym_S019_probe,17.5
sym_S020_vibrate,17.5
sym_S021_glance,17.5
sym_S022_listen_close,17.5
sym_S023_tactile_alert,17.5
sym_S024_temperature_probe,17.5
sym_S025_echo_back,17.5
sym_S026_focus_listen,17.5
sym_S027_visual_ping,17.5
sym_S028_presence_probe,17.5
sym_TIME03_past,18.5
sym_TIME04_present,18.5
sym_TIME05_future,18.5
sym_TIME06_cycle_small,18.5
sym_TIME07_cycle_large,18.5
sym_TIME08_epoch,18.5
sym_TIME09_moment,18.5
sym_TIME10_phase,18.5
sym_TIME11_schedule,18.5
sym_TIME12_defer,18.5
sym_TIME13_sync,18.5
sym_TIME14_remember,18.5
sym_EXTRA021,19.5
sym_EXTRA022,19.5
sym_EXTRA023,19.5
sym_EXTRA024,19.5
sym_EXTRA025,19.5
sym_EXTRA026,19.5
sym_EXTRA027,19.5
sym_EXTRA028,19.5
sym_EXTRA029,19.5
sym_EXTRA030,19.5
sym_EXTRA031,19.5
sym_EXTRA032,19.5
sym_EXTRA033,19.5
sym_EXTRA034,19.5
sym_EXTRA035,19.5
sym_EXTRA036,19.5
sym_EXTRA037,19.5
sym_EXTRA038,19.5
sym_EXTRA039,19.5
sym_EXTRA040,19.5
